Class.Attribute	Code	Level	Text
SignatureRules.SIG_IS_XADES_BES_OR_EPES	SignatureRules.SIG_IS_XADES_BES_OR_EPES	ERROR	The TL signature MUST be either a XAdES-BES or a XAdES-EPES.
SignatureRules.SIG_SIGCERT_ISSUER	SignatureRules.SIG_SIGCERT_ISSUER	WARNING	The signing certificate shall be issued by one of the following entities: the TSLO itself, a TSP listed in the TL, or a TSP within the same community.
SignatureRules.SIG_SIGCERT_SN_ORG_SON	SignatureRules.SIG_SIGCERT_SN_ORG_SON	ERROR	The Organization attribute of the Subject field MUST match the valule of one of the values of SchemeOperatorName.
SignatureRules.SIG_SIGCERT_SN_CC_SCHT	SignatureRules.SIG_SIGCERT_SN_CC_SCHT	ERROR	The Country attribute of the Subject field MUST match the value of one of the values of SchemeTerritory.
SignatureRules.SIG_SIGCERT_KEYUS_VALUE	SignatureRules.SIG_SIGCERT_KEYUS_VALUE	ERROR	The signing certificate's KeyUsage extension shall have the value digitalSignature or nonRepudiation to the exclusion of any other KeyUsage value.
SignatureRules.SIG_SIGCERT_EXTKEYUS_VALUE	SignatureRules.SIG_SIGCERT_EXTKEYUS_VALUE	ERROR	The signing certificate's ExtendedKeyUsage extension should be present containing the value id-tsl-kp-tslSigning.
SignatureRules.SIG_SIGCERT_BASCONST_VALUE	SignatureRules.SIG_SIGCERT_BASCONST_VALUE	ERROR	The signing certificate's BasicConstraints extension shall indicate CA=false.
SignatureRules.SIG_SIGCERT_SKI_VALUE	SignatureRules.SIG_SIGCERT_SKI_VALUE	ERROR	The signing certificate shall contain the SubjectKeyIdentifier extension and its value shall be computed with one of the first 2 methods specified in clause 4.2.1.2 of IETF RFC 5280.
SignatureRules.SIG_SIGCERT_IN_ECLOL	SignatureRules.SIG_SIGCERT_IN_ECLOL	ERROR	The signing certificate of the TL shall be listed in the EC List of Lists.
SignatureRules.SIG_SIGCERT_NOT_EXPIRED	SignatureRules.SIG_SIGCERT_NOT_EXPIRED	ERROR	The signing certificate of the TL shall not be expired.
StringRules.NOT_EMPTY_STRING	StringRules.NOT_EMPTY_STRING	ERROR	Component $A1 must have a not empty string as value.
StringRules.STRING_LIST_NOTNULL_NOTEMPTY	StringRules.STRING_LIST_NOTNULL_NOTEMPTY	ERROR	The list of strings must be neither null nor empty.
StringTypesRules.NOT_EMPTY_STRING	StringTypesRules.NOT_EMPTY_STRING	ERROR	The value of $A1 must be a not empty string.
StringTypesRules.NOT_NULL_STRING	StringTypesRules.NOT_NULL_STRING	ERROR	The value of $A1 must be a non null string.
TSLRules.TSLTAG	TSLRules.TSLTAG	ERROR	TSLtag MUST be "http://uri.etsi.org/19612/TSLTag"
TSLRules.SIG_MUST_BE_PRESENT	TSLRules.SIG_MUST_BE_PRESENT	ERROR	 The TL MUST be signed.
TSPRules.TSP_TRN_VAT_PATTERN	TSPRules.TSP_TRN_VAT_PATTERN	ERROR	The value of one of the components of the Trade Name in English seems to match the pattern VATCC-X, where CC is the country code and X is the VAT number
TSPRules.TSP_TRN_NTR_PATTERN	TSPRules.TSP_TRN_NTR_PATTERN	ERROR	The value of one of the components of the Trade Name in English seems to match the pattern NTRCC-X, where CC is the country code and X is the VAT number
TSPRules.TSP_TRN_PAS_PATTERN	TSPRules.TSP_TRN_PAS_PATTERN	ERROR	The value of one of the components of the Trade Name in English seems to match the pattern PASCC-X, where CC is the country code and X is the VAT number
TSPRules.TSP_TRN_IDC_PATTERN	TSPRules.TSP_TRN_IDC_PATTERN	ERROR	The value of one of the components of the Trade Name in English seems to match the pattern IDCCC-X, where CC is the country code and X is the VAT number
TSPRules.TSP_TRN_PNO_PATTERN	TSPRules.TSP_TRN_PNO_PATTERN	ERROR	The value of one of the components of the Trade Name in English seems to match the pattern PNOCC-X, where CC is the country code and X is the VAT number
TSPRules.TSP_TRN_TIN_PATTERN	TSPRules.TSP_TRN_TIN_PATTERN	ERROR	The value of one of the components of the Trade Name in English seems to match the pattern TINCC-X, where CC is the country code and X is the VAT number
TSPRules.TSP_TRN_NONE_OF_PATTERNS	TSPRules.TSP_TRN_NONE_OF_PATTERNS	ERROR	None of the English components of the Trade Name seem to match neither the pattern NTRCC-X nor VATCC-X, nor PASCC-X, nor IDCCC-X, nor PNOCC-X, nor TINCC-X
TSPServiceRules.SVC_TYPE_IN_REG_910_2014	TSPServiceRules.SVC_TYPE_IN_REG_910_2014	ERROR	The value of ServiceTyeIdentifier in the service information section MUST be one of the starndardized values supporting EU Regulation 910/2014.
TSPServiceRules.SVC_TYPE_IN_DIR_1999_93_EC	TSPServiceRules.SVC_TYPE_IN_DIR_1999_93_EC	ERROR	When the StatusStartingTime in an historic instance is previous to the entry into force of the EU Regulation 910/2014, then the type of service in the service section MUST be one of the standardized values supporting EC Directive 1999/93/EC.
TSPServiceRules.SVC_STAT_IN_REG_910_2014	TSPServiceRules.SVC_STAT_IN_REG_910_2014	ERROR	The ServiceStatus value MUST be a valid value for the EU Regulation 910/2014 starting on 1st July 2016.
TSPServiceRules.SVC_STAT_VALID_FOR_TYPE	TSPServiceRules.SVC_STAT_VALID_FOR_TYPE	ERROR	The ServiceStatus value MUST be a valid value for the service type.
TSPServiceRules.SVC_SDEFURI_PRESENT_IF_TYPE_NATROOTCA_QC	TSPServiceRules.SVC_SDEFURI_PRESENT_IF_TYPE_NATROOTCA_QC	ERROR	If the ServiceTypeIdentifier value is "http://uri.etsi.org/TrstSvc/Svctype/NationalRootCA-QC" the TSPServiceDefinitionURI component MUST be present. 
TSPServiceRules.SVC_START_BEFORE_NOW	TSPServiceRules.SVC_START_BEFORE_NOW	ERROR	The StatusStartingTime may be a time respect the checking time. If it is later than the checking time, it is an announced status change.
TSPServiceRules.SVC_START_AFTER_PREVIOUS	TSPServiceRules.SVC_START_AFTER_PREVIOUS	ERROR	The StatusStartingTime MUST be greater than the time present in StatusStartingTime within the most recent ServiceHistoryInstance.
TSPServiceRules.SVC_ASIE_COHERENT_TO_TYPE	TSPServiceRules.SVC_ASIE_COHERENT_TO_TYPE	ERROR	The ServiceType value $A1 and AdditionalServiceInformation extension value(s) MUST be coherent.
TSPServiceRules.STAT_TRANSITION_TYPE_KNOWN	TSPServiceRules.STAT_TRANSITION_TYPE_KNOWN	ERROR	The transition between statues MUST be one of the following: from EUDir to EUDir, from EUDir to EUDir or from EUReg to EUReg.
TSPServiceRules.EUDIR_STAT_TRANSITION_CORRECT	TSPServiceRules.EUDIR_STAT_TRANSITION_CORRECT	ERROR	The transition between statues supporting EC Directive 1999/93 MUST be as specified in ETSI TS 119 612v1.2.1.
TSPServiceRules.EUREG_STAT_TRANSITION_CORRECT	TSPServiceRules.EUREG_STAT_TRANSITION_CORRECT	ERROR	The transition between statues supporting EU Regulation 910/2014 MUST be as specified in ETSI TS 119 612v2.1.1.
TSPServiceRules.EUREG_STARTING_TIME	TSPServiceRules.EUREG_STARTING_TIME	ERROR	The value of StartusStartingTime in the first service section corresponding to the entry into force of EU Regulation MUST be the string "2016-06-30T22:00:00Z".
TSPServiceRules.ANNEX_J_STAT_TRANSITION	TSPServiceRules.ANNEX_J_STAT_TRANSITION	ERROR	The transition of the status MUST be as specified in ETSI TS 119 612v2.1.1 Annex J.
TSPServiceRules.ANNEX_J_A_II	TSPServiceRules.ANNEX_J_A_II	ERROR	If the previously listed service is qualified by http://uri.etsi.org/TrstSvc/TrustedList/SvcInfoExt/RootCA-QC then this AdditionalServiceInformation component MUST be kept in the posterior service according to Annex J (a) (ii).
TSPServiceRules.ANNEX_J_A_IV_CORRECT_QUAL_MIGRATION	TSPServiceRules.ANNEX_J_A_IV_CORRECT_QUAL_MIGRATION	ERROR	If the previously listed service is qualified by one of the qualifiers identified in Annex J (a) (iv) then this qualifier MUST be migrated to the value specified in the aforementioned point.
TSPServiceRules.ANNEX_J_A_IV_NO_OLD_QUALS	TSPServiceRules.ANNEX_J_A_IV_NO_OLD_QUALS	ERROR	The migrated service MUST not contain qualifiers that according to Annex J (a) (iv) MUST migrate to different values.
URITypesRules.IS_URI	URITypesRules.IS_URI	ERROR	The value of component $A1 must be a valid URI.
URITypesRules.WEIRD_URI	URITypesRules.WEIRD_URI	WARNING	The value is a valid URI but likely weird.
URITypesRules.URI_STRING_NO_TRIMMED	URITypesRules.URI_STRING_NO_TRIMMED	WARNING	The string value of $A1 is a valid URI AFTER TRIMMING IT. No whitespaces should appear neither at the beginning nor at the end.
URITypesRules.URI_NOTNULL	URITypesRules.URI_NOTNULL	ERROR	The URI must not be null.
URITypesRules.URI_DEREFERENCING_SUCCESS	URITypesRules.URI_DEREFERENCING_SUCCESS	ERROR	The URI must reference to some document on the Web.
URITypesRules.URI_SSL_CONTEXT_BUILDING	URITypesRules.URI_SSL_CONTEXT_BUILDING	ERROR	The SSL context for connecting to a web server through https protocol has failed.
URITypesRules.NOT_EMPTY_URI	URITypesRules.NOT_EMPTY_URI	ERROR	The value of $A1 must be a non empty URI reference.
URITypesRules.URI_LIST_NOTNULL_NOTEMPTY	URITypesRules.URI_LIST_NOTNULL_NOTEMPTY	ERROR	The list of URIs must be neither null nor empty.
URITypesRules.URI_VAL_EUMSLIST	URITypesRules.URI_VAL_EUMSLIST	ERROR	For a EUMS List, the $A1 MUST be "$A2".
URITypesRules.URI_VAL_ECLOL	URITypesRules.URI_VAL_ECLOL	ERROR	For a EC List of Trusted Lists, the $A1 MUST be "$A2".
URITypesRules.URI_VAL_NEUMS_BUT_VALID	URITypesRules.URI_VAL_NEUMS_BUT_VALID	WARNING	A $A1's value set to "$A2" indicates that this is a list of a non EUMS.
URITypesRules.URI_VAL_NECLOL_BUT_VALID	URITypesRules.URI_VAL_NECLOL_BUT_VALID	WARNING	A $A1's value set to "$A2" indicates that this is a list of lists of an international organization different than EC.
URITypesRules.URI_VAL_NOT_REGISTERED	URITypesRules.URI_VAL_NOT_REGISTERED	WARNING	 The $A1 value is not registered in the ETSI Identified Organization Domain. It is not possible to asscertain whether it is a list of a non EUMS or a list of lists of an organization different than EC except for the entities involved in the community this list is part.
URITypesRules.URI_VAL_REGISTERED	URITypesRules.URI_VAL_REGISTERED	WARNING	 The $A1 value is registered in the ETSI Identified Organization Domain. ETSI's registry should indicate whether this value corresponds to a list of a non EUMS or a list of lists of an organization different than EC.
URITypesRules.URI_VAL_COHERENT_WITH_TSLTYPE	URITypesRules.URI_VAL_COHERENT_WITH_TSLTYPE	WARNING	 The $A1 value must be coherent with the value of the TSLType. The schema rules is unknown as it seems that the country/community is outside the European Union.
URITypesRules.URI_VAL_NOEUMS_NORECLOL	URITypesRules.URI_VAL_NOEUMS_NORECLOL	ERROR	 The $A1 value must not be neither a value corresponding to an EUMS Trusted List nor a value corresponding to the EC list of lists.
URITypesRules.URI_VAL_COHERENT_WITH_EUMS_LIST	URITypesRules.URI_VAL_COHERENT_WITH_EUMS_LIST	ERROR	The $A1 value must be the one corresponding to a EUMS Trusted List.
URITypesRules.URI_VAL_COHERENT_WITH_EC_LOL	URITypesRules.URI_VAL_COHERENT_WITH_EC_LOL	ERROR	The $A1 value must be the one corresponding to the EC List of Trusted Lists.
URITypesRules.URI_VAL_COHERENT_WITH_NEUMS_LIST	URITypesRules.URI_VAL_COHERENT_WITH_NEUMS_LIST	ERROR	The $A1 value must be the one corresponding to a non EUMS list.
URITypesRules.URI_VAL_COHERENT_WITH_NEC_LOL	URITypesRules.URI_VAL_COHERENT_WITH_NEC_LOL	ERROR	The $A1 value must be the one corresponding to an international organization different than EC.
URITypesRules.URI_VAL_COHERENT_WITH_UNKNOWN_TYPE	URITypesRules.URI_VAL_COHERENT_WITH_UNKNOWN_TYPE	ERROR	It is unknown whether the list is a non EUMS list or a non EC list of lists.
